cgpa,score,placed
7.64,7.25,0
7.97,8.06,0
7.33,7.37,0
9.81,9.79,1
5.88,5.56,0
5.24,5.71,0
8.38,8.32,1
7.78,8.06,0
9.3,9.23,0
10.1,9.65,1
8.69,8.94,1
6.76,6.63,0
7.81,7.62,0
5.47,5.72,0
4.86,5.27,0
9.95,9.94,1
7.34,7.73,0
5.15,5.56,0
7.53,7.55,0
6.84,7.26,0
6.15,6.42,0
7.46,7.15,0
6.65,6.56,0
8.91,8.62,0
6.61,6.19,0
7.41,7.14,0
6.3,6.27,0
8.61,8.5,1
5.96,5.46,0
5.62,5.15,0
4.65,5.05,0
4.74,5.05,0
6.56,6.86,1
7.51,7.3,0
7.1,6.91,0
5.07,5.31,0
5.89,6.09,0
6.96,6.69,0
7.1,6.98,0
8.24,7.81,0
8.29,8.73,0
8.24,8.41,1
6.6,6.96,0
7.97,7.56,0
9.17,9.27,0
8.18,8.11,0
4.73,5.16,0
6.43,6.19,0
8.36,8.07,1
9.81,9.65,1
8.52,8.28,1
9.47,9.87,1
5.43,5.9,0
6.64,6.22,0
8.32,8.41,1
8.41,7.94,0
7.35,7.57,0
4.81,5.1,0
7.92,7.86,0
5.79,5.45,0
5.52,5.66,0
6.5,6.25,0
7.13,7.47,0
8.46,8.58,1
7.77,7.42,0
8.63,8.55,1
6.99,6.58,0
9.99,9.52,1
9.35,9.61,0
7.34,7.21,0
6.6,6.65,0
9.8,9.77,0
7.15,7.6,0
5.75,5.82,0
4.96,5.38,0
6.54,6.5,0
9.31,8.83,0
6.58,6.99,0
7.76,7.29,0
10.42,9.95,0
8.38,8.26,1
5.22,5.38,1
6.19,6.41,0
5.62,5.5,0
6.45,6.78,0
7.04,6.6,0
6.23,6.67,0
8.71,8.43,1
8.79,8.88,0
7.6,8.03,0
10.2,9.76,1
7.67,7.53,0
7.89,7.68,0
6.39,6.04,0
10.1,9.8,0
5.95,6.09,0
9.28,9.59,0
7.95,8.26,0
7.48,7.25,0
5.58,5.62,0
9.83,9.52,1
7.54,7.12,0
9.84,9.83,0
7.29,7.72,0
6.42,6.32,0
8.31,8.36,0
6.28,5.85,0
8.65,8.75,0
9.3,9.67,1
8.21,8.12,0
9.37,9.29,0
6.47,6.53,0
5.03,5.27,0
5.54,5.06,0
7.56,7.74,0
5.38,5.17,0
7.42,7.58,0
7.69,8.1,0
9.09,8.66,0
9.16,9.23,1
5.47,5.45,0
5.92,5.61,0
9.43,9.46,1
8.88,9.18,0
7.72,8.12,0
8.56,8.44,1
6.37,6.83,0
8.27,8.74,0
7.17,7.09,0
9.57,9.1,1
6.69,6.8,0
7.99,8.27,1
9.63,9.99,0
9.21,9.25,1
8.69,9.19,1
5.45,5.24,0
7.46,7.8,0
5.27,5.46,0
9.01,8.76,0
8.19,8.42,0
6.44,6.84,0
9.15,9.16,0
7.83,7.7,0
7.55,7.15,0
10.17,9.81,0
8.41,8.73,0
5.56,5.35,0
5.22,5.12,0
9.33,9.08,0
8.7,9.2,0
4.87,5.22,0
9.78,9.28,0
7.57,7.87,0
8.86,8.61,0
6.58,6.68,0
8.68,8.32,0
10.31,9.9,0
8.12,7.81,0
8.39,8.18,0
6.3,5.98,0
5.52,5.05,0
8.25,8.09,0
7.34,7.16,0
9.99,9.95,1
7.47,7.76,0
8.19,8.04,1
6.23,5.93,0
5.67,6.1,1
9.84,9.55,0
7.16,6.91,0
8.87,9.12,1
7.7,7.57,0
8.3,8.49,0
6.16,6.54,0
6.97,6.61,0
8.51,8.41,0
6.7,6.7,0
4.8,5.12,0
7.83,7.65,0
8.31,8.5,1
6.92,7.11,0
7.53,7.33,0
5.6,5.72,0
8.81,8.46,0
7,7.06,0
5.79,5.88,0
7.78,7.84,0
5.93,5.59,0
7.72,7.79,0
8.81,8.72,1
9.37,9.45,0
7.52,7.62,0
5.7,5.57,0
7.94,7.76,0
9.81,9.58,0
7.27,7.14,0
8.68,8.82,0
5.22,5.47,0
5.11,5.45,0
6.56,7.01,0
8.55,8.21,0
6.5,6.34,0
5.37,5.18,0
5.89,5.82,0
6.62,6.13,0
8.02,7.72,1
4.84,5.25,0
10.2,9.84,0
7.21,7.32,0
10.45,9.99,0
10.14,9.95,0
8,8.4,0
8.54,8.41,1
5.99,6,0
4.79,5.25,0
7.92,7.75,0
7.33,7.68,0
9.71,9.42,0
9.5,9.1,0
5.17,5.18,0
7.26,7.02,0
9.22,8.83,0
9.36,8.87,0
7.47,7.95,0
5.87,5.76,0
8.47,8.59,1
4.89,5.05,0
8.17,8.18,0
7.36,7.8,0
5.1,5.39,0
6.02,6.34,0
7.23,6.8,0
6.31,6.71,0
9.34,9.03,0
5.84,6.28,0
8.99,9.03,0
6.72,6.65,0
6.81,6.89,0
7.81,8.26,0
6.21,6.18,0
7.97,7.73,0
8.77,8.75,0
9.34,9.42,0
5.96,6.08,0
7.16,6.8,0
6.91,7.34,1
8.79,8.63,1
6.37,6.74,0
5.87,5.52,0
4.97,5.01,0
8.85,8.84,0
6.29,5.94,0
7.86,8.14,0
8.56,8.99,0
7.53,7.68,1
7.65,7.5,0
6.3,6.25,0
9.39,9.48,0
8.95,9.16,0
8.21,8.23,0
8.64,8.8,0
4.78,5.27,0
8.22,7.77,0
6.6,6.42,1
5.09,5.57,0
6.06,6.22,0
8.23,7.96,0
6.73,6.62,0
5.68,5.96,0
9.11,8.83,0
8.55,8.83,0
8.7,8.42,1
6.33,6.35,0
5.18,5.29,0
8.36,8.77,1
7.62,7.72,0
6,5.64,0
5.73,5.33,0
8.13,8.49,0
6.67,6.35,0
8.97,9,0
9.2,8.79,0
7.34,7.61,1
9.04,9.31,0
8.39,8.87,1
10.07,9.91,0
6.6,6.87,0
7.77,7.44,0
7.16,6.98,0
5.28,5.54,0
7.55,7.4,0
8.57,8.61,1
6.09,6.09,0
7.67,7.19,0
8.55,8.98,1
9.52,9.99,0
9.15,9,0
6.95,7.32,0
6.42,6.59,0
9.16,9.37,0
7.2,7.18,0
8.58,8.91,0
8.05,8.55,0
8.92,8.93,0
6.26,6.66,0
6.84,6.4,0
5.98,5.83,0
6.3,6.41,0
6.55,6.32,0
4.77,5.21,0
8.06,8.38,1
6.63,6.25,0
6.04,5.54,0
5.6,5.37,0
7.65,7.47,0
4.95,5.06,0
8.72,8.55,0
5.25,5.61,0
4.89,5.38,0
7.93,7.9,0
10.37,9.9,1
8.26,8.72,0
6.72,6.37,0
9.28,9.46,1
5.84,5.72,0
8.84,9.15,0
8.05,8.03,0
7.86,7.71,0
8.58,8.25,1
6.19,6.39,0
7.09,6.64,0
7.56,7.75,0
7.81,7.36,0
8.31,8.21,0
6.27,6.02,0
6.03,6.45,0
8.48,8.48,0
9.58,9.95,1
9.32,9.67,0
5.6,5.86,0
9.99,9.98,0
6.6,6.91,0
5.67,6.1,0
8.06,8.23,0
9.56,9.38,0
7.86,7.55,0
9.55,9.38,1
6.65,6.37,0
9.42,9.06,1
7.75,7.99,0
5.26,5.19,0
7.97,7.57,0
6.06,6.34,0
6.91,6.86,0
8.05,8.04,0
7.12,6.63,0
5.62,5.13,0
5.39,5.42,0
8.63,8.53,0
6.69,7.17,1
9.48,9.44,0
6.08,6.34,0
5.32,5.58,0
6.35,5.86,0
6.95,7.41,0
8.98,9.22,0
8.01,7.82,0
9.21,9.59,1
8.67,8.91,0
6.38,6.29,0
6.43,6.05,0
7.05,7.12,0
7.93,7.64,0
8.76,9.04,0
7.78,7.72,0
7.76,8.03,0
9.58,9.27,0
7.47,7.52,0
8.9,8.87,0
7.77,8.22,0
8.51,8.41,0
8.44,8.64,0
8.3,8.31,0
8.65,8.51,1
5.25,5.61,0
7.08,6.71,0
6.19,5.74,0
6.6,6.74,0
6.27,6.64,0
7.98,7.71,0
9.25,9.46,0
7.05,7.13,1
4.74,5.2,0
6.52,6.95,0
8.99,9.4,0
6.1,6.06,1
7.86,8.1,0
8.24,8.53,0
6.4,6.46,0
6.34,6.63,0
5.18,5.32,0
5.38,5.48,0
4.9,5.35,0
8.86,8.81,0
9.46,9.62,1
5.47,5.62,0
5.42,5.43,0
7.35,6.89,0
8.74,8.45,0
8.4,8.02,1
9.6,9.86,0
7.32,7.38,0
8.72,8.28,1
6.54,6.98,0
8.96,9.33,0
7.69,7.81,1
9.51,9.61,1
7,6.67,0
7.51,7.91,0
9.19,9.18,1
4.77,5.09,0
9.42,9.22,0
9.34,9.58,0
6.09,5.64,0
9.14,9.14,1
8.55,8.41,0
7.41,6.96,0
7.14,7.3,0
9.77,9.51,1
8.67,8.71,0
8.54,8.9,1
5.29,5.44,0
6.78,6.61,1
5.74,5.3,0
6.37,6.57,0
8.54,8.66,1
5.73,5.37,0
5.83,5.79,0
6.22,6.14,0
8.94,8.86,1
8.75,8.57,1
8.95,8.81,1
8.77,8.9,0
6.85,7,0
8.51,8.89,1
9.23,9.34,1
7.64,7.69,0
9.21,9.07,0
9.69,9.89,1
9.91,9.86,0
7.42,7.86,0
9.33,9.75,0
6.88,7.27,0
5.95,6.31,0
8.19,8.08,1
5.3,5.07,1
8.52,8.87,0
8.12,7.87,1
7.49,7.34,0
5.32,5.47,0
8.51,8.27,0
9.04,9.41,0
7.98,7.99,0
8.96,9.31,1
8.36,8.65,1
5.92,5.61,0
8.29,8.22,1
9.35,9.42,1
10.04,9.99,1
10.38,10,0
6.75,7.06,0
10.1,9.98,1
6.09,5.8,0
5.85,6.01,0
6.66,6.99,0
5.43,5.71,0
8.08,8.05,0
5.4,5.58,0
9.81,9.91,1
7.29,7.29,0
10.18,9.77,1
7.32,7.5,0
8.09,7.98,0
5.32,5.54,0
8.1,7.65,1
9.66,9.71,0
8.14,7.83,0
6.2,6.08,0
5.53,5.96,0
6.4,6.76,0
9.54,9.18,0
9.05,9.17,0
7.84,7.93,0
9.14,8.79,1
7.64,7.87,0
5.49,5.92,0
7.25,6.79,0
6.14,6.18,0
7.29,7.29,0
7.31,7.09,0
8.6,8.62,1
5.18,5.39,0
9.97,9.59,0
6.67,6.53,0
6.49,6.3,0
9.05,9.25,0
6.27,5.85,0
7.61,7.2,0
7.99,8.06,0
9.12,9.32,0
9.73,9.47,0
9.12,9.54,0
7.8,7.31,0
6.53,6.55,0
5.09,5.11,0
8.03,8.39,0
7.99,7.96,0
7.45,7.12,0
7.83,7.89,0
10.09,9.92,0
9.42,9.65,1
5.67,6.01,0
9.22,9.48,0
7.54,7.28,0
8.49,8.25,1
8.54,8.27,1
8.85,8.96,1
6.92,7.24,0
8.36,8.56,0
9.47,9.69,0
6.73,7.18,0
8.56,8.5,0
6.14,6.24,0
7.21,7.52,0
8.86,8.4,0
7.19,6.86,0
9.44,9.49,0
8.75,8.41,0
5.68,5.72,0
9.04,9.43,1
7.48,7.8,0
9.72,9.84,0
8.84,9.13,0
10.08,9.82,0
8.61,9.09,1
5.8,5.46,0
7.3,7.25,0
5.19,5.51,0
6.34,6.71,0
9.18,9.57,0
6.26,6.53,1
5.68,5.26,0
9.55,9.9,0
7.93,8.21,0
5.21,5.03,0
6.82,6.48,0
5.7,5.42,0
6.12,5.73,1
9.39,9.38,1
8.64,8.63,1
5.65,5.62,0
8.7,9.18,0
8.66,8.21,0
9.51,9.72,1
8.09,7.75,0
6.86,7.02,0
4.87,5.35,0
5.71,6.16,0
6.71,7,0
5.68,5.88,0
9.53,9.5,0
6.77,6.92,0
6.12,6.02,0
5.65,6.03,0
8.14,8.51,0
6.5,6.8,1
6.72,7.02,0
9.52,9.37,0
9.32,9.67,0
6.77,6.54,0
7.76,7.44,0
9.64,9.83,1
7.55,7.68,0
9.94,9.83,1
7.3,7.71,0
8.91,9.24,1
7.07,6.78,0
6.79,7.15,0
7.75,7.95,0
7.71,8.12,0
6.31,6.37,0
8.09,7.73,0
6.33,5.85,0
6.29,6.17,0
6.96,7.21,0
6.07,5.91,0
6.45,6.72,0
8.17,7.68,0
10.07,9.72,0
5.01,5.31,0
7.59,7.28,0
5.47,5.75,0
7.38,7.18,0
7.11,6.81,0
7.66,7.76,0
7.53,7.47,0
7.21,7.6,0
6.35,6.3,0
7.36,6.96,0
6.96,6.7,0
6.87,7.1,0
5.95,6.07,0
5.8,5.86,0
7.54,7.84,0
6.95,6.8,0
9.11,8.82,0
7.85,7.81,0
6.25,5.85,0
6.81,6.53,0
6.34,6.77,0
6.09,6.21,0
7.2,7.63,0
6.86,6.63,0
8.34,8.79,0
9.13,8.84,0
7.11,7.09,0
5.09,5.07,0
4.91,5.13,0
7.21,7.64,0
8.7,8.53,0
9.44,9.85,0
7.95,7.94,0
6.1,5.68,0
6.99,7.02,0
6.19,6.26,0
8.8,8.4,0
8.54,8.23,1
5.09,5.37,0
6.36,6.14,0
5.59,6.03,0
7.97,8.21,0
9.03,8.54,1
5.35,5.01,0
6.39,6.64,0
8.07,7.79,1
9.7,9.95,0
9.5,9.84,1
8.11,8.55,0
8.69,8.95,0
6.87,7.03,0
6.52,6.51,0
6.45,6.2,0
7.16,7.54,0
7.68,7.44,1
4.72,5.1,0
9.3,9.09,1
9.51,9.96,1
6.92,6.6,0
6.9,6.46,0
5.09,5.46,0
7.04,6.67,0
6.08,6.18,0
9.22,8.77,1
8.92,8.81,0
6.77,6.74,0
9.47,9.35,0
8.93,8.46,1
7.36,7.44,0
6.91,7.2,0
9.16,9.3,0
8.3,8.66,1
7.89,8.16,0
7.98,8.04,0
7.8,7.37,0
7.31,7.28,0
8.22,7.74,0
9.73,9.68,0
8.28,8.24,0
9.45,9.07,0
6.09,5.71,0
7.59,7.24,0
5.27,5.72,0
6.23,6.7,0
8.12,8.61,0
6.32,6.19,0
8.59,8.74,0
5.54,5.68,0
7.5,7.96,0
8.2,8.44,1
6.34,6.56,0
8.08,7.97,1
5.91,6.07,0
8.17,8,0
9.16,9.19,0
5.18,5.23,0
6.62,6.19,0
7.27,7.17,0
8,7.85,0
8.41,8.68,0
8.05,8.54,0
6.84,6.73,0
9.44,9.93,0
9.78,9.44,0
6.88,6.85,0
6.01,5.78,0
9.13,8.92,0
5.99,5.56,0
8.99,9.21,0
9.46,9.8,0
7.34,7.76,0
7.87,8.14,0
9.54,9.36,0
9.13,9.59,1
6.22,6.42,0
9.38,9.68,0
6.24,5.95,0
7.6,7.34,0
6.67,6.8,1
7.78,8.13,0
7.53,7.53,0
5.82,6.13,0
6.61,6.77,0
8.14,8.43,1
5.93,5.59,0
9.43,8.95,0
6.73,6.45,1
4.8,5.01,0
6.79,7.22,0
7.23,7.02,0
8.1,7.71,0
5.42,5.42,1
7.57,7.74,0
6.44,6.64,0
6.17,6.34,0
6.42,6.76,0
6.46,6.83,0
8.57,8.79,0
10.15,9.67,0
5.54,5.86,0
6.6,6.92,0
7.29,7.72,0
5.95,5.8,0
5.99,5.78,0
7.44,7.13,0
9.08,8.64,0
9.96,9.63,0
9.46,9.9,1
8.07,8.13,0
8.79,8.37,0
8.48,8.08,0
7.02,6.87,0
7.41,7.9,0
6.82,6.99,0
7.39,7.02,1
8.23,8.4,0
8.2,8.48,0
9.39,9.86,0
5.14,5.16,0
6.96,6.73,0
8.47,8.72,1
7.71,7.98,0
5.8,6.19,0
8.39,8.87,0
7.63,7.87,0
8.33,8.14,0
8.47,8.95,0
8.41,8.08,1
7.62,7.83,0
5.4,5.37,0
7.27,7.01,0
5.37,5.51,0
8.22,8.62,0
8.41,8.64,0
5.6,5.92,0
8.7,9.14,0
9.28,9.34,1
8.46,8.56,1
8.17,8.58,0
6.26,6.59,0
8.22,7.95,0
8.84,8.56,1
7.96,8.43,0
5.9,5.47,0
8.63,8.3,0
7.74,8.2,0
8.33,8.31,0
7.04,7.2,0
5.94,6.26,0
8.68,8.22,0
6.78,6.62,0
8.46,8.08,0
8.61,8.14,0
7.3,6.99,0
8.74,8.89,0
6.09,6.43,0
9.5,9.56,0
8.74,8.67,1
8.54,8.07,0
8.21,8.58,0
6.3,6.64,0
8.14,8.64,0
8.69,8.65,1
5.18,5.22,0
6.53,6.82,0
5.94,6.09,0
5.81,5.81,0
7.84,7.46,0
7.68,7.28,0
9.56,9.14,0
6.22,5.87,0
8.89,8.63,0
7.63,8.07,0
9.34,9.39,1
9.47,9.37,1
5.65,5.42,0
9.01,8.62,0
9.3,9.12,0
8.81,8.47,1
5.34,5.02,0
8.02,8.06,0
8.96,9.13,0
7.31,7.36,0
7.39,7.64,0
6.13,5.67,0
8.01,8.23,1
7.36,7.76,0
6.29,6,0
8.45,8.73,1
9.41,9.81,0
6.31,6.29,0
8.72,8.89,0
8.2,7.79,0
6.3,6.13,0
6.82,6.37,0
6.32,6.53,0
5.59,5.19,0
6.11,5.77,0
6.37,6.3,0
6.39,6.35,0
9,9.03,0
6.18,6.36,0
7.43,7.34,0
7.26,7.02,0
8.15,8.6,0
8.34,8.42,1
5.19,5.21,0
6.56,6.98,0
10.07,9.85,1
6.68,6.48,0
7.63,7.74,0
7.22,7.37,0
9.3,8.93,0
5.49,5.09,0
7.3,7.67,0
8.04,8.38,0
8.59,9.03,0
8.12,8.08,0
9.41,9.77,1
7.88,7.84,0
7.16,6.94,1
7.07,6.77,0
6.49,6.57,0
8.75,8.31,0
9.54,9.2,0
6.99,6.78,0
7.23,7.27,0
7.75,8.08,0
9.51,9.58,0
6.85,7.08,0
9.73,9.75,0
8.54,9.03,0
8.01,8.09,0
7.06,7.15,0
10.06,9.85,0
9.45,9.37,0
5.29,5.11,0
8.24,8.26,1
5.7,5.26,0
6.17,6.07,0
9.42,9.08,1
7.35,7.05,0
7.51,7.21,0
5.39,5.24,0
6.34,5.96,0
5.7,5.36,0
9.31,9.71,1
7.98,7.69,0
7.03,7.06,0
5.68,5.32,1
6.95,7.34,0
6.25,6.18,0
6.1,6.19,0
8.11,7.7,0
9.23,8.89,0
9.12,9.17,0
5.81,5.94,0
7.82,7.74,0
10.02,9.7,0
8.99,9.24,0
5.67,5.6,0
6.36,6.64,0
9.11,9.09,0
4.87,5.37,0
6.99,7.04,0
7.48,7.36,0
9.85,9.59,0
8.69,8.9,1
6.41,6.37,0
6.83,6.92,0
6.02,5.81,0
5.36,5.02,0
9.68,9.61,0
5.28,5.34,0
8.69,8.45,0
9.07,8.81,0
5.56,5.35,0
5.68,5.44,0
6.06,6.38,0
9.31,9.04,0
8.13,7.93,1
7.99,7.55,0
5.56,5.74,0
9.4,9.08,0
6.65,6.62,0
6.24,6.26,0
4.75,5.14,0
7.79,7.81,0
8.48,8.21,0
9.35,9.16,0
7.01,7.46,0
7.66,7.84,0
5.5,5.23,0
6.88,6.78,0
8.58,8.54,0
5.58,5.28,0
8.53,8.87,0
6.72,6.39,0
6.85,6.92,0
6.42,6.44,1
6.13,6.21,0
8.06,8.09,1
8.38,8.33,1
8.76,8.88,0
9.26,9.66,0
7.59,7.36,0
9.4,9.4,0
6.34,6.81,0
6.98,6.72,0
5.7,6.02,1
9.27,9,0
8.76,8.97,0
9.77,9.65,1
8.59,8.8,1
6.09,5.92,0
9.86,9.48,0
7.39,7.58,0
10.05,9.85,1
6.68,6.99,0
6.61,6.61,0
8.03,8.37,1
7.86,8.22,0
4.7,5.02,0
8.59,8.21,0
9.13,9.33,0
9.61,9.92,0
5.28,5.08,0
8.56,8.58,1
7.83,7.96,0
9.18,8.88,0
5.72,6.01,0
9.6,9.63,0
5.24,5.25,0
9.84,9.98,0
6.08,6.41,0
5.85,6.13,0
9.01,8.77,0
5.36,5.04,0
6.35,5.91,0
9.12,9.53,0
5.32,5.62,0
4.94,5.23,0
9.3,9.43,0
5.88,5.92,0
6.09,5.93,0
8.19,8.12,0
8.39,8.22,0
8.11,7.66,0
9.01,8.77,1
5.33,5.75,0
9.27,9.56,0
5.82,5.66,0
6.78,7,0
6.51,7.01,1
6.71,6.22,0
5.81,5.32,0
6.88,6.77,0
6.46,6.9,0
6.63,6.69,0
6.38,6.13,1
7.04,7.35,0
9.6,9.23,0
5.47,5.16,0
5.98,6.23,0
6.8,7.08,0
5.38,5.21,0
5.51,5.69,0
8.85,8.76,1
5.99,5.84,0
7.48,7.05,0
9.31,9.25,0
6.01,6.05,0
6.12,5.86,0
6.06,5.71,1
6.56,6.51,0
9.1,8.69,0
6.02,6.42,0
6.21,6.42,0
6.81,7.28,0
6.87,6.86,0
8.61,8.14,0
8.15,8.27,0
6.3,6.78,0
8.55,8.68,0
6.46,6.49,0
5.25,5.68,0
9.2,8.97,0
8.92,8.78,0
5.95,6.35,0
9.65,9.88,0
8.66,9,0
7.53,7.3,0
6.97,6.67,0
7.48,7.27,0
9.71,9.76,0
8,7.55,0
8.21,8.7,0
4.9,5.23,0
9.34,8.99,0
6.66,6.89,0
9.31,8.9,1
5.86,5.8,0
9.54,9.57,0
7.3,7.03,0
10.37,9.93,1
5.54,5.13,0
7.3,7.64,0
6.66,7.12,0
9.53,9.65,0
8.9,8.96,1
7.43,7.19,0
9.62,9.99,0
9.86,9.41,1
5.72,5.58,0
9.44,9.88,0
7.41,7.65,0
9.06,8.81,0
9.79,9.55,0
6.27,6.48,0
7.8,8.03,0
8.27,8.28,0
8.71,8.51,0
8.32,7.91,1
9.44,9.4,0
5.5,5.91,0
9.86,9.92,0
6.56,6.67,0
5.93,6.35,0
8.77,8.41,1
8.09,8.58,0
5.69,5.55,0
6.73,6.49,0
7.07,6.77,0
6.28,6.73,0
9.63,9.52,0
8.92,8.95,1
8.01,8.4,0
8.24,8.16,0
6.41,5.93,0
6.32,6.56,0
6.17,5.97,0
7.18,6.94,0
6.43,6.49,1
7.74,7.54,0
9.12,9.37,0
6.95,6.66,0
5.93,6.27,0
9.2,9.52,0
8.68,8.4,0
5.63,5.27,0
5.35,5.67,0
5.39,5.3,0
8.15,8.35,0
6.98,7.48,0
8.26,7.83,0
6.13,5.88,0
7.66,7.42,0
8.97,8.79,1
6.43,6.71,0
6.9,7.1,0
9.33,9.67,0
9.75,9.46,0
9.29,9.09,0
7.49,7.26,0
9.58,9.78,0
7.37,7.38,0
4.83,5.23,0
6.55,6.17,1
6.82,7.19,0
7.71,7.28,0
8.73,8.89,0
8.49,8.31,0
9.84,9.5,1
5.87,5.47,0
10.26,9.8,0
5.16,5.44,0
5.66,5.91,0
6.47,6.24,0
8.77,8.43,0
5.8,5.98,0
6.29,6.05,0
10.37,9.98,1
6.52,6.15,0
6.66,6.36,0
8.72,8.46,0
9.88,9.64,0
10.07,9.84,1
8.6,8.61,0
8.01,7.95,0
5.85,5.84,0
7.37,7.71,0
9.32,9.19,1
6.65,6.48,0
7.79,8.05,0
6.78,7.06,0
9.01,9.45,1
5.75,6.22,0
8.23,8.11,1
8.73,8.63,0
8.04,8.22,0
8.79,8.93,1
10.07,9.74,1
9.8,9.45,0
7.25,7.62,0
8.72,9.22,0
7.74,7.34,0
9.21,9.04,0
7.22,7.56,0
6.68,7.09,0
9.01,9.47,0
9.69,9.51,0
6.64,6.71,0
9.02,8.69,1
7.47,7.37,0
8.58,8.41,1
9.72,9.86,0
8.08,8.47,0
8.66,8.91,1
9.17,9.52,1
9.25,9.65,0
7.46,7.32,0
8.1,8.46,1
9.46,9.69,0
9.06,9.46,0
7.55,7.67,0
5.23,5.26,0
6.9,7.05,0
5.73,5.48,1
5.85,6.09,0
8.78,8.36,1
7.58,7.4,0
8.25,8.36,0
7.87,8.25,0
7.43,7.24,0
6.12,5.96,0
9.91,9.54,0
9.68,9.84,1
6.85,7.16,0
5.07,5.43,0
8.3,8.5,0
9.07,9.3,0
7.54,7.88,0
9.07,8.86,0
5.49,5.74,0
7.81,7.63,0
9.65,9.55,1
5.51,5.24,0
5.56,5.93,1
7.22,7.71,0
10.01,9.83,0
4.99,5.18,0
9.04,8.64,0
8.67,8.54,0
7.41,7.7,0
9.68,9.51,0
7.57,7.14,0
9.11,9.28,1
7.52,7.3,0
5.59,6.05,0
6.09,5.85,0
6.18,6.37,0
6.09,5.8,0
7.14,7.2,0
9.2,9.63,0
9.28,9.7,0
6.34,5.96,0
7.45,7.94,0
10.01,9.66,0
9.16,9.21,0
9.02,8.9,0
5.87,5.82,0
9.85,9.5,0
8.72,9.11,0
6,6.26,0
8.24,8.24,0
8.91,8.69,0
5.91,6.22,0
7.91,8.21,0
8.35,8.47,0
6.29,6.3,0
9.3,8.89,0
6.19,6.57,0
8.66,8.5,0
8.54,8.9,1
8.15,8.58,1
5.01,5.36,0
6.27,6.02,0
7.52,7.72,0
5.88,5.38,0
6.1,6.45,0
6.11,5.68,0
5.47,5.55,0
9.49,9.85,1
7.83,7.81,0
6.53,6.56,0
6.59,6.31,0
9.33,9.32,0
9.19,9.14,0
5.39,5.44,0
5.07,5.2,0
6.18,5.99,0
8.05,8.14,1
8.06,8.4,1
8.19,8.31,0
7.66,7.56,0
8.94,9.41,1
5.53,5.85,0
4.76,5.23,0
6.17,6.55,0
7.87,7.41,0
7.09,7.32,0
7.83,7.44,0
9.65,9.5,1
6.07,6.48,0
5.78,5.43,0
7.24,6.76,0
9.16,8.92,0
